#{"t_start": 1770500331.618574, "env_id": "None"}
r,l,t
455.55106,1000,3510.511244
257.3729,1000,3510.511261
385.33948,1000,3510.511273
427.99506,1000,3527.922232
310.0679,1000,3527.922279
598.194,1000,3527.922294
552.0205,1000,3527.922306
486.83624,674,3540.422045
511.30392,1000,3545.410068
563.0831,1000,3545.410113
497.21832,1000,3545.410129
405.9481,1000,3557.675506
401.66736,1000,3562.554334
388.2893,1000,3562.554373
436.39386,1000,3562.554388
195.23318,1000,3574.583298
324.5575,1000,3579.664945
170.89832,1000,3579.664984
369.74612,1000,3579.664999
276.30164,1000,3592.226526
423.29254,1000,3597.026465
299.9953,1000,3597.026503
183.33174,1000,3597.026519
227.86465,1000,3609.294486
560.498,1000,3614.381002
163.84341,1000,3614.381042
645.38715,1000,3614.381058
576.69055,1000,3626.855965
256.61316,1000,3632.123485
308.4458,1000,3632.123524
261.2698,1000,3632.12354
428.809,1000,3644.730089
50.9441,1000,3649.44982
807.80475,1000,3649.449858
200.31494,1000,3649.449874
180.5704,1000,3661.317174
385.07034,1000,3666.081592
281.57513,1000,3666.08163
193.92545,1000,3666.081646
237.92664,1000,3677.858904
435.84467,1000,3682.975029
300.68405,1000,3682.975067
260.59232,1000,3682.975083
272.60736,1000,3695.667712
99.26329,1000,3700.679072
474.46457,1000,3700.67911
433.085,1000,3700.679125
304.25116,1000,3714.267458
243.4296,1000,3719.253258
182.48163,1000,3719.253301
339.44214,1000,3719.253317
236.53455,1000,3731.580132
488.01172,1000,3736.780277
574.9098,1000,3736.780318
299.30283,1000,3736.780334
592.3167,1000,3750.360904
302.09384,1000,3755.878461
235.39914,1000,3755.8785
529.1174,1000,3755.878515
353.9669,1000,3768.283879
293.12567,1000,3773.198494
239.67828,1000,3773.198534
587.5043,1000,3773.198551
229.02783,1000,3785.92108
767.1698,893,3789.562844
249.08652,1000,3791.273814
464.7473,1000,3791.273853
528.7715,1000,3804.987398
467.46924,1000,3808.36841
370.96298,1000,3810.114134
680.06616,1000,3810.11418
744.0022,1000,3823.355498
363.8248,1000,3827.244208
223.52719,1000,3829.949686
423.8053,1000,3829.94973
238.18147,1000,3843.823301
285.41196,1000,3847.093442
228.07135,1000,3848.676639
749.1247,1000,3848.676679
242.85245,1000,3861.605134
562.9191,1000,3865.602787
269.48654,1000,3867.420928
323.8372,1000,3867.420993
552.1731,1000,3882.105961
271.20718,1000,3886.432838
210.12207,1000,3888.442259
327.50436,1000,3888.442298
312.20938,1000,3903.30949
350.30573,1000,3907.615363
381.3399,1000,3909.628268
644.03955,1000,3909.628318
362.36316,1000,3921.329515
284.026,1000,3927.42949
746.4114,1000,3929.311176
716.2611,1000,3929.311217
376.18597,1000,3946.151651
254.9365,1000,3946.151695
279.86575,1000,3946.151711
271.84177,1000,3946.151723
298.62268,1000,3963.053859
235.61188,1000,3963.053904
339.73465,1000,3963.053928
178.56671,1000,3963.053941
199.99585,1000,3984.179294
551.2372,1000,3984.179343
344.877,1000,3984.179359
141.37689,1000,3984.179372
433.57825,1000,4004.590483
249.99506,1000,4004.590554
343.07303,1000,4004.590574
388.36786,1000,4004.590587
291.16306,1000,4024.504119
279.92346,1000,4024.504162
565.4651,1000,4024.504178
414.9458,1000,4024.50419
649.99994,1000,4044.807309
371.25955,1000,4044.807364
418.38986,1000,4044.807382
846.6277,1000,4044.807395
428.04767,1000,4066.426009
196.63698,1000,4066.426063
542.35803,1000,4066.42608
351.1229,1000,4066.426093
315.99493,1000,4085.917851
259.9955,1000,4085.917892
276.61914,1000,4085.917909
455.55127,1000,4085.917922
322.7899,1000,4105.760425
254.16205,1000,4105.760482
193.72476,1000,4105.760499
268.4166,1000,4105.760511
344.4401,1000,4125.749214
451.08978,1000,4125.749264
573.6516,1000,4125.74928
742.47296,1000,4125.749293
748.0644,1000,4145.879633
758.0676,1000,4145.879695
579.19196,1000,4145.879712
489.99643,1000,4145.879725
352.29205,1000,4165.576908
378.2567,1000,4165.576956
266.79083,1000,4165.576973
395.1733,1000,4165.576986
491.35788,1000,4185.599828
357.44415,1000,4185.599877
423.8063,1000,4185.599893
276.66223,1000,4185.599905
497.26465,1000,4206.139746
817.3305,1000,4206.139806
264.57874,1000,4206.139823
507.51706,1000,4206.139837
480.64,1000,4225.984539
158.67055,1000,4225.98458
462.49847,1000,4225.984597
136.29909,1000,4225.984609
568.76953,1000,4243.978873
316.0797,1000,4243.978925
545.05035,1000,4243.978943
354.54047,1000,4243.978957
344.07474,1000,4263.750072
205.91626,1000,4263.750127
458.91797,1000,4263.750144
436.90897,1000,4263.750157
621.8534,1000,4283.641626
751.9925,1000,4283.641675
577.4221,1000,4283.641692
637.41504,1000,4283.641705
750.995,1000,4304.276064
527.30383,1000,4304.276106
422.48972,1000,4304.276123
305.10458,1000,4304.276136
332.83157,1000,4324.142558
374.28146,1000,4324.142611
254.09381,1000,4324.142627
828.58124,1000,4324.142639
908.90393,911,4342.390539
286.5499,1000,4343.994936
809.7215,1000,4343.99498
684.6189,1000,4343.994996
717.85754,1000,4363.209991
792.51495,1000,4364.749704
36.779488,1000,4364.749745
545.8989,1000,4364.74976
698.53394,1000,4382.951416
188.3165,1000,4384.759644
365.11188,1000,4384.759684
506.34634,1000,4384.759701
-47.705368,809,4401.427696
235.61172,1000,4403.297543
230.12398,1000,4405.019087
304.98087,1000,4405.019142
195.91357,1000,4421.92424
303.12018,1000,4423.703008
455.15518,1000,4425.226638
651.7555,1000,4425.226678
334.61072,1000,4441.260608
639.2852,1000,4443.036108
202.71674,1000,4444.767766
370.985,1000,4444.767806
140.79762,1000,4462.06012
267.69278,1000,4463.921652
382.65527,1000,4465.51533
272.25772,1000,4465.515382
79.73935,1000,4482.540311
339.8685,1000,4482.540361
365.37994,1000,4482.540377
210.21405,1000,4482.54039
135.08266,1000,4499.093412
7.595856,1000,4499.093463
38.409653,1000,4499.09348
299.99554,1000,4499.093493
355.2201,1000,4520.05902
288.27454,1000,4520.059081
279.30557,1000,4520.059102
174.09174,1000,4520.059115
148.05733,1000,4540.755772
330.60013,1000,4540.755825
285.76355,1000,4540.755841
408.46967,1000,4540.755853
419.22638,1000,4561.266896
324.65274,1000,4561.266937
307.937,1000,4561.266953
299.18842,1000,4561.266965
274.0985,1000,4581.37104
33.859634,1000,4581.371083
71.429504,1000,4581.371099
485.20822,1000,4581.371111
401.8143,1000,4601.641257
120.64184,1000,4601.641302
-13.173062,1000,4601.641319
258.6162,1000,4601.641338
94.07643,1000,4621.494022
176.35886,1000,4621.494076
312.1188,1000,4621.494094
243.96725,1000,4621.494107
198.55609,1000,4642.03469
61.07424,1000,4642.034732
173.05789,1000,4642.034748
